name	linking_url
Hugues Capet	https://fr.wikipedia.org/wiki/Hugues_Capet
Henri Barbusse	https://fr.wikipedia.org/wiki/Henri_Barbusse
Hervé Bazin	https://fr.wikipedia.org/wiki/Hervé_Bazin
Intel	https://fr.wikipedia.org/wiki/Intel
Isaac Asimov	https://fr.wikipedia.org/wiki/Isaac_Asimov
Imre Kertész	https://fr.wikipedia.org/wiki/Imre_Kertész
John McCarthy	https://fr.wikipedia.org/wiki/John_McCarthy
Jules Verne	https://fr.wikipedia.org/wiki/Jules_Verne
Jean-Pierre Chevènement	https://fr.wikipedia.org/wiki/Jean-Pierre_Chevènement
Jean Saint-Josse	https://fr.wikipedia.org/wiki/Jean_Saint-Josse
John Fowles	https://fr.wikipedia.org/wiki/John_Fowles
Jean-Charles de Borda	https://fr.wikipedia.org/wiki/Jean-Charles_de_Borda
Joseph Conrad	https://fr.wikipedia.org/wiki/Joseph_Conrad
Jack Nicholson	https://fr.wikipedia.org/wiki/Jack_Nicholson
James Henry Breasted	https://fr.wikipedia.org/wiki/James_Henry_Breasted
Jules César	https://fr.wikipedia.org/wiki/Jules_César
John Woo	https://fr.wikipedia.org/wiki/John_Woo
Joseph E. Stiglitz	https://fr.wikipedia.org/wiki/Joseph_E._Stiglitz
Jacques Audiberti	https://fr.wikipedia.org/wiki/Jacques_Audiberti
Jacques-Yves Cousteau	https://fr.wikipedia.org/wiki/Jacques-Yves_Cousteau
Jello Biafra	https://fr.wikipedia.org/wiki/Jello_Biafra
Jean-François Champollion	https://fr.wikipedia.org/wiki/Jean-François_Champollion
Jacques-Joseph Champollion	https://fr.wikipedia.org/wiki/Jacques-Joseph_Champollion
Jacques Tardi	https://fr.wikipedia.org/wiki/Jacques_Tardi
Kurt Lewin	https://fr.wikipedia.org/wiki/Kurt_Lewin
Linus Torvalds	https://fr.wikipedia.org/wiki/Linus_Torvalds
Lionel Jospin	https://fr.wikipedia.org/wiki/Lionel_Jospin
Ludwik Lejzer Zamenhof	https://fr.wikipedia.org/wiki/Ludwik_Lejzer_Zamenhof
Louis Malle	https://fr.wikipedia.org/wiki/Louis_Malle
Lee Scratch Perry	https://fr.wikipedia.org/wiki/Lee_Scratch_Perry
Laurel Aitken	https://fr.wikipedia.org/wiki/Laurel_Aitken
Lewis Henry Morgan	https://fr.wikipedia.org/wiki/Lewis_Henry_Morgan
Lucien Tesnière	https://fr.wikipedia.org/wiki/Lucien_Tesnière
Laurent Lafforgue	https://fr.wikipedia.org/wiki/Laurent_Lafforgue
Maurice Leblanc	https://fr.wikipedia.org/wiki/Maurice_Leblanc
Ménès	https://fr.wikipedia.org/wiki/Ménès_(pharaon)
Mario Vargas Llosa	https://fr.wikipedia.org/wiki/Mario_Vargas_Llosa
Martin Scorsese	https://fr.wikipedia.org/wiki/Martin_Scorsese
Michelle Yeoh	https://fr.wikipedia.org/wiki/Michelle_Yeoh
Mary Shelley	https://fr.wikipedia.org/wiki/Mary_Shelley
Martin Heidegger	https://fr.wikipedia.org/wiki/Martin_Heidegger
Miguel de Icaza	https://fr.wikipedia.org/wiki/Miguel_de_Icaza
Molière	https://fr.wikipedia.org/wiki/Molière
Mika Waltari	https://fr.wikipedia.org/wiki/Mika_Waltari
Meiji	https://fr.wikipedia.org/wiki/Meiji_(empereur)
Marcel Aymé	https://fr.wikipedia.org/wiki/Marcel_Aymé
Maurice Papon	https://fr.wikipedia.org/wiki/Maurice_Papon
Maurice Barrès	https://fr.wikipedia.org/wiki/Maurice_Barrès
Marcel Mauss	https://fr.wikipedia.org/wiki/Marcel_Mauss
Margaret Mead	https://fr.wikipedia.org/wiki/Margaret_Mead
Michael Moore	https://fr.wikipedia.org/wiki/Michael_Moore
Noël Mamère	https://fr.wikipedia.org/wiki/Noël_Mamère
Niels Bohr	https://fr.wikipedia.org/wiki/Niels_Bohr
Nicolas Copernic	https://fr.wikipedia.org/wiki/Nicolas_Copernic
Narmer	https://fr.wikipedia.org/wiki/Narmer
Neil Armstrong	https://fr.wikipedia.org/wiki/Neil_Armstrong
Octavio Paz	https://fr.wikipedia.org/wiki/Octavio_Paz
Ovide	https://fr.wikipedia.org/wiki/Ovide
Oscar Wilde	https://fr.wikipedia.org/wiki/Oscar_Wilde
Pépin le Bref	https://fr.wikipedia.org/wiki/Pépin_le_Bref
Paul Héroult	https://fr.wikipedia.org/wiki/Paul_Héroult
Paul Auster	https://fr.wikipedia.org/wiki/Paul_Auster
Paul Verhoeven	https://fr.wikipedia.org/wiki/Paul_Verhoeven
Pierre Schaeffer	https://fr.wikipedia.org/wiki/Pierre_Schaeffer
Pierre Bordage	https://fr.wikipedia.org/wiki/Pierre_Bordage
Philip José Farmer	https://fr.wikipedia.org/wiki/Philip_José_Farmer
Pierre Mendès France	https://fr.wikipedia.org/wiki/Pierre_Mendès_France
Paul Dirac	https://fr.wikipedia.org/wiki/Paul_Dirac
Pierre Boulle	https://fr.wikipedia.org/wiki/Pierre_Boulle
Paul Lafargue	https://fr.wikipedia.org/wiki/Paul_Lafargue
Philippe Pétain	https://fr.wikipedia.org/wiki/Philippe_Pétain
Philip K. Dick	https://fr.wikipedia.org/wiki/Philip_K._Dick
Prince Buster	https://fr.wikipedia.org/wiki/Prince_Buster
Robert Hue	https://fr.wikipedia.org/wiki/Robert_Hue
Renaud	https://fr.wikipedia.org/wiki/Renaud
René Dumont	https://fr.wikipedia.org/wiki/René_Dumont
Régis Wargnier	https://fr.wikipedia.org/wiki/Régis_Wargnier
Roland Garros	https://fr.wikipedia.org/wiki/Roland_Garros
Roman Polanski	https://fr.wikipedia.org/wiki/Roman_Polanski
René Barjavel	https://fr.wikipedia.org/wiki/René_Barjavel
Roland C. Wagner	https://fr.wikipedia.org/wiki/Roland_C._Wagner
Richard Stallman	https://fr.wikipedia.org/wiki/Richard_Stallman
René Goscinny	https://fr.wikipedia.org/wiki/René_Goscinny
Stéphane Mallarmé	https://fr.wikipedia.org/wiki/Stéphane_Mallarmé
Steve Jobs	https://fr.wikipedia.org/wiki/Steve_Jobs
Sharon Stone	https://fr.wikipedia.org/wiki/Sharon_Stone
Stanley Kubrick	https://fr.wikipedia.org/wiki/Stanley_Kubrick
Sigmund Freud	https://fr.wikipedia.org/wiki/Sigmund_Freud
Satoru Iwata	https://fr.wikipedia.org/wiki/Satoru_Iwata
Sejong le Grand	https://fr.wikipedia.org/wiki/Sejong_le_Grand
Stephen King	https://fr.wikipedia.org/wiki/Stephen_King
Stanislas Lem	https://fr.wikipedia.org/wiki/Stanislas_Lem
Samuel Beckett	https://fr.wikipedia.org/wiki/Samuel_Beckett
Takeshi Kitano	https://fr.wikipedia.org/wiki/Takeshi_Kitano
Tim Burton	https://fr.wikipedia.org/wiki/Tim_Burton
Tricky	https://fr.wikipedia.org/wiki/Tricky
Tsui Hark	https://fr.wikipedia.org/wiki/Tsui_Hark
Tokugawa Ieyasu	https://fr.wikipedia.org/wiki/Tokugawa_Ieyasu
Théodore Agrippa d'Aubigné	https://fr.wikipedia.org/wiki/Théodore_Agrippa_d'Aubigné
Terry Pratchett	https://fr.wikipedia.org/wiki/Terry_Pratchett
Humbert Ier	https://fr.wikipedia.org/wiki/Humbert_Ier_(roi_d'Italie)
Eugène Viollet-le-Duc	https://fr.wikipedia.org/wiki/Eugène_Viollet-le-Duc
Victor Hugo	https://fr.wikipedia.org/wiki/Victor_Hugo
Vicente Fox	https://fr.wikipedia.org/wiki/Vicente_Fox
