variants	origine
Georges Bataille	Georges Bataille
Bataille	Georges Bataille
G. Greene	Graham Greene
Graham Greene	Graham Greene
Greene	Graham Greene
G. Auric	Georges Auric
Georges Auric	Georges Auric
Auric	Georges Auric
G. Apollinaire	Guillaume Apollinaire
Guillaume Apollinaire	Guillaume Apollinaire
Apollinaire	Guillaume Apollinaire
G. Xingjian	Gao Xingjian
Gao Xingjian	Gao Xingjian
Xingjian	Gao Xingjian
G. Orwell	George Orwell
George Orwell	George Orwell
Orwell	George Orwell
G. Manset	Gérard Manset
Gérard Manset	Gérard Manset
Manset	Gérard Manset
G. Brassens	Georges Brassens
Georges Brassens	Georges Brassens
Brassens	Georges Brassens
G. Grass	Günter Grass
Günter Grass	Günter Grass
Grass	Günter Grass
H. Yamauchi	Hiroshi Yamauchi
Hiroshi Yamauchi	Hiroshi Yamauchi
Yamauchi	Hiroshi Yamauchi
H. Carter	Howard Carter
Howard Carter	Howard Carter
Carter	Howard Carter
H. James	Henry James
Henry James	Henry James
James	Henry James
H. Arendt	Hannah Arendt
Hannah Arendt	Hannah Arendt
Arendt	Hannah Arendt
H. Ford	Henry Ford
Henry Ford	Henry Ford
Ford	Henry Ford
H. Hesse	Hermann Hesse
Hermann Hesse	Hermann Hesse
Hesse	Hermann Hesse
H. Capet	Hugues Capet
Hugues Capet	Hugues Capet
Capet	Hugues Capet
H. Barbusse	Henri Barbusse
Henri Barbusse	Henri Barbusse
Barbusse	Henri Barbusse
H. Bazin	Hervé Bazin
Hervé Bazin	Hervé Bazin
Bazin	Hervé Bazin
I. Asimov	Isaac Asimov
Isaac Asimov	Isaac Asimov
Asimov	Isaac Asimov
I. Kertész	Imre Kertész
Imre Kertész	Imre Kertész
Kertész	Imre Kertész
J. McCarthy	John McCarthy
John McCarthy	John McCarthy
McCarthy	John McCarthy
J. Verne	Jules Verne
Jules Verne	Jules Verne
Verne	Jules Verne
J. Chevènement	Jean-Pierre Chevènement
Jean-Pierre Chevènement	Jean-Pierre Chevènement
Chevènement	Jean-Pierre Chevènement
J. Saint-Josse	Jean Saint-Josse
Jean Saint-Josse	Jean Saint-Josse
Saint-Josse	Jean Saint-Josse
J. Fowles	John Fowles
John Fowles	John Fowles
Fowles	John Fowles
J. Borda	Jean-Charles de Borda
Jean-Charles Borda	Jean-Charles de Borda
Borda	Jean-Charles de Borda
J. Conrad	Joseph Conrad
Joseph Conrad	Joseph Conrad
Conrad	Joseph Conrad
J. Nicholson	Jack Nicholson
Jack Nicholson	Jack Nicholson
Nicholson	Jack Nicholson
J. Breasted	James Henry Breasted
James Breasted	James Henry Breasted
Breasted	James Henry Breasted
J. César	Jules César
Jules César	Jules César
César	Jules César
J. Woo	John Woo
John Woo	John Woo
Woo	John Woo
Joseph Stiglitz	Joseph E. Stiglitz
J. Audiberti	Jacques Audiberti
Jacques Audiberti	Jacques Audiberti
Audiberti	Jacques Audiberti
J. Cousteau	Jacques-Yves Cousteau
Jacques-Yves Cousteau	Jacques-Yves Cousteau
Cousteau	Jacques-Yves Cousteau
J. Biafra	Jello Biafra
Jello Biafra	Jello Biafra
Biafra	Jello Biafra
J. Champollion	Jean-François Champollion
Jean-François Champollion	Jean-François Champollion
Champollion	Jean-François Champollion
J. Champollion	Jacques-Joseph Champollion
Jacques-Joseph Champollion	Jacques-Joseph Champollion
Champollion	Jacques-Joseph Champollion
J. Tardi	Jacques Tardi
Jacques Tardi	Jacques Tardi
Tardi	Jacques Tardi
K. Lewin	Kurt Lewin
Kurt Lewin	Kurt Lewin
Lewin	Kurt Lewin
L. Torvalds	Linus Torvalds
Linus Torvalds	Linus Torvalds
Torvalds	Linus Torvalds
L. Jospin	Lionel Jospin
Lionel Jospin	Lionel Jospin
Jospin	Lionel Jospin
L. Zamenhof	Ludwik Lejzer Zamenhof
Ludwik Zamenhof	Ludwik Lejzer Zamenhof
Zamenhof	Ludwik Lejzer Zamenhof
L. Malle	Louis Malle
Louis Malle	Louis Malle
Malle	Louis Malle
L. Perry	Lee Scratch Perry
Lee Perry	Lee Scratch Perry
Perry	Lee Scratch Perry
L. Aitken	Laurel Aitken
Laurel Aitken	Laurel Aitken
Aitken	Laurel Aitken
L. Morgan	Lewis Henry Morgan
Lewis Morgan	Lewis Henry Morgan
Morgan	Lewis Henry Morgan
L. Tesnière	Lucien Tesnière
Lucien Tesnière	Lucien Tesnière
Tesnière	Lucien Tesnière
L. Lafforgue	Laurent Lafforgue
Laurent Lafforgue	Laurent Lafforgue
Lafforgue	Laurent Lafforgue
M. Leblanc	Maurice Leblanc
Maurice Leblanc	Maurice Leblanc
Leblanc	Maurice Leblanc
Ménès	Ménès
M. Llosa	Mario Vargas Llosa
Mario Llosa	Mario Vargas Llosa
Llosa	Mario Vargas Llosa
M. Scorsese	Martin Scorsese
Martin Scorsese	Martin Scorsese
Scorsese	Martin Scorsese
M. Yeoh	Michelle Yeoh
Michelle Yeoh	Michelle Yeoh
Yeoh	Michelle Yeoh
M. Shelley	Mary Shelley
Mary Shelley	Mary Shelley
Shelley	Mary Shelley
M. Heidegger	Martin Heidegger
Martin Heidegger	Martin Heidegger
Heidegger	Martin Heidegger
M. Icaza	Miguel de Icaza
Miguel Icaza	Miguel de Icaza
Icaza	Miguel de Icaza
Molière	Molière
M. Waltari	Mika Waltari
Mika Waltari	Mika Waltari
Waltari	Mika Waltari
Meiji	Meiji
M. Aymé	Marcel Aymé
Marcel Aymé	Marcel Aymé
Aymé	Marcel Aymé
M. Papon	Maurice Papon
Maurice Papon	Maurice Papon
Papon	Maurice Papon
M. Barrès	Maurice Barrès
Maurice Barrès	Maurice Barrès
Barrès	Maurice Barrès
M. Mauss	Marcel Mauss
Marcel Mauss	Marcel Mauss
Mauss	Marcel Mauss
M. Mead	Margaret Mead
Margaret Mead	Margaret Mead
Mead	Margaret Mead
M. Moore	Michael Moore
Michael Moore	Michael Moore
Moore	Michael Moore
N. Mamère	Noël Mamère
Noël Mamère	Noël Mamère
Mamère	Noël Mamère
N. Bohr	Niels Bohr
Niels Bohr	Niels Bohr
Bohr	Niels Bohr
N. Copernic	Nicolas Copernic
Nicolas Copernic	Nicolas Copernic
Copernic	Nicolas Copernic
Narmer	Narmer
N. Armstrong	Neil Armstrong
Neil Armstrong	Neil Armstrong
Armstrong	Neil Armstrong
O. Paz	Octavio Paz
Octavio Paz	Octavio Paz
Paz	Octavio Paz
Ovide	Ovide
O. Wilde	Oscar Wilde
Oscar Wilde	Oscar Wilde
Wilde	Oscar Wilde
P. Bref	Pépin le Bref
Pépin Bref	Pépin le Bref
Bref	Pépin le Bref
P. Héroult	Paul Héroult
Paul Héroult	Paul Héroult
Héroult	Paul Héroult
P. Auster	Paul Auster
Paul Auster	Paul Auster
Auster	Paul Auster
P. Verhoeven	Paul Verhoeven
Paul Verhoeven	Paul Verhoeven
Verhoeven	Paul Verhoeven
P. Schaeffer	Pierre Schaeffer
Pierre Schaeffer	Pierre Schaeffer
Schaeffer	Pierre Schaeffer
P. Bordage	Pierre Bordage
Pierre Bordage	Pierre Bordage
Bordage	Pierre Bordage
P. Farmer	Philip José Farmer
Philip Farmer	Philip José Farmer
Farmer	Philip José Farmer
P. France	Pierre Mendès France
Pierre France	Pierre Mendès France
France	Pierre Mendès France
P. Dirac	Paul Dirac
Paul Dirac	Paul Dirac
Dirac	Paul Dirac
P. Boulle	Pierre Boulle
Pierre Boulle	Pierre Boulle
Boulle	Pierre Boulle
P. Lafargue	Paul Lafargue
Paul Lafargue	Paul Lafargue
Lafargue	Paul Lafargue
P. Pétain	Philippe Pétain
Philippe Pétain	Philippe Pétain
Pétain	Philippe Pétain
Philip Dick	Philip K. Dick
P. Buster	Prince Buster
Prince Buster	Prince Buster
Buster	Prince Buster
